instruccion;respuesta;accion
"Hola, ¿cómo estás?";"Hola, estoy bien. ¿Y tú?";"0"
"¿Qué hiciste hoy?";"Hice algunas compras y fui al gimnasio.";"0"
"¿Tienes planes para el fin de semana?";"Sí, voy a visitar a mi familia.";"0"
"¿Cómo te va en el trabajo?";"Va bastante bien, gracias por preguntar.";"0"
"¿Has visto alguna película interesante últimamente?";"Sí, vi una película de ciencia ficción anoche.";"0"
"¿Cuál es tu comida favorita?";"Me encanta la pizza.";"0"
"¿Tienes alguna mascota?";"Sí, tengo un perro llamado Max.";"0"
"¿Prefieres la playa o la montaña?";"Me gusta la playa para relajarme y la montaña para hacer senderismo.";"0"
"¿Eres fanático de algún deporte?";"Sí, me gusta mucho el fútbol.";"0"
"¿Qué música te gusta escuchar?";"Disfruto de varios géneros, pero el rock es mi favorito.";"0"
"¿Has viajado a algún lugar interesante?";"Sí, viajé a Japón el año pasado, fue increíble.";"0"
"¿Te gustaría aprender otro idioma?";"Sí, estoy interesado en aprender francés.";"0"
"¿Cómo te mantienes activo?";"Voy al gimnasio regularmente y practico yoga.";"0"
"¿Cuál es tu libro favorito?";"Me encanta 'El Gran Gatsby'.";"0"
"¿Eres más de día o de noche?";"Soy definitivamente una persona nocturna.";"0"
"¿Disfrutas cocinando?";"Sí, cocinar es una de mis pasiones.";"0"
"¿Tienes algún pasatiempo creativo?";"Me gusta pintar y hacer manualidades.";"0"
"¿Prefieres el té o el café?";"Soy un amante del café, no puedo vivir sin él.";"0"
"¿Has tenido alguna experiencia de aventura?";"Sí, hice paracaidismo una vez, fue emocionante.";"0"
"¿Eres más de series o películas?";"Me gusta ver series, pero de vez en cuando disfruto de una buena película.";"0"
"Activame una alarma para las 7 de la tarde";"Claro, enseguida te creo la alarma para las 7 de la tarde";"1"
"Mañana necesito madrugar, despiertame sobre las 6 de la madrugada";"De acuerdo, mañana te despierto por la mañana, pero no puedo prepararte el cafe";"1"
"Configura una alarma para las 8 AM";"Claro, la alarma estará configurada para las 8 AM";"1"
"Despiértame a las 7:30 AM";"Listo, te despertaré a las 7:30 AM";"1"
"Activa la alarma para las 6:45 AM";"Hecho, la alarma está configurada para las 6:45 AM";"1"
"Necesito levantarme temprano, pon una alarma para las 6 AM";"Entendido, la alarma está programada para las 6 AM";"1"
"Programa una alarma para las 9 AM mañana";"Claro, la alarma sonará a las 9 AM mañana";"1"
"Quiero que me avises a las 7 AM";"Entendido, recibirás una alerta a las 7 AM";"1"
"Avisame a las 8:30 AM para la reunión";"Hecho, recibirás una notificación a las 8:30 AM para la reunión";"1"
"Pon una alarma para las 7:15 AM por favor";"Claro, la alarma está establecida para las 7:15 AM";"1"
"Activa una alarma para recordarme la cita a las 4 PM";"De acuerdo, te recordaré la cita a las 4 PM";"1"
"Despiértame a las 6:30 AM para hacer ejercicio";"Listo, la alarma está configurada para las 6:30 AM";"1"
"Añade una cita con el dentista el 15 de octubre a las 10 AM";"Hecho, he agregado una cita con el dentista el 15 de octubre a las 10 AM en tu calendario";"2"
"Programa una reunión de equipo el próximo viernes a las 3 PM";"Entendido, he programado una reunión de equipo para el próximo viernes a las 3 PM en tu calendario";"2"
"Agenda una llamada con el cliente para el martes a las 2:30 PM";"Claro, he agendado una llamada con el cliente para el martes a las 2:30 PM en tu calendario";"2"
"Reserva una sala de conferencias para la presentación de mañana a las 11 AM";"Hecho, he reservado una sala de conferencias para la presentación de mañana a las 11 AM en tu calendario";"2"
"Agrega un recordatorio para enviar el informe el 20 de octubre a las 9 AM";"Listo, he añadido un recordatorio para enviar el informe el 20 de octubre a las 9 AM en tu calendario";"2"
"Marca la fecha de la entrevista de trabajo el 25 de octubre a las 2 PM";"De acuerdo, he marcado la fecha de la entrevista de trabajo el 25 de octubre a las 2 PM en tu calendario";"2"
"Cita con el profesor a las 4 PM el próximo jueves";"Entendido, he agendado una cita con el profesor a las 4 PM el próximo jueves en tu calendario";"2"
"Programa una videollamada con el equipo para el lunes a las 11:30 AM";"Claro, he programado una videollamada con el equipo para el lunes a las 11:30 AM en tu calendario";"2"
"Añade una reunión de planificación para el próximo mes a las 9 AM";"Hecho, he añadido una reunión de planificación para el próximo mes a las 9 AM en tu calendario";"2"
"Reserva el espacio para el evento de caridad el 18 de noviembre a las 2 PM";"Listo, he reservado el espacio para el evento de caridad el 18 de noviembre a las 2 PM en tu calendario";"2"
"Agenda una llamada con el cliente para el próximo miércoles a las 10 AM";"Claro, he agendado una llamada con el cliente para el próximo miércoles a las 10 AM en tu calendario";"2"
"Programa una reunión de equipo para el próximo lunes a las 2 PM";"De acuerdo, he programado una reunión de equipo para el próximo lunes a las 2 PM en tu calendario";"2"
"Agenda una videollamada con el equipo para el jueves a las 3:30 PM";"Hecho, he agendado una videollamada con el equipo para el jueves a las 3:30 PM en tu calendario";"2"
"Reserva una sala de conferencias para la presentación de la semana próxima a las 10:30 AM";"Entendido, he reservado una sala de conferencias para la presentación de la semana próxima a las 10:30 AM en tu calendario";"2"
"Agrega un recordatorio para enviar el informe el 22 de octubre a las 10 AM";"Listo, he añadido un recordatorio para enviar el informe el 22 de octubre a las 10 AM en tu calendario";"2"
"Marca la fecha de la reunión de negocios el 28 de octubre a las 11 AM";"De acuerdo, he marcado la fecha de la reunión de negocios el 28 de octubre a las 11 AM en tu calendario";"2"
"Cita con el cliente a las 4 PM el próximo viernes";"Entendido, he agendado una cita con el cliente a las 4 PM del próximo viernes en tu calendario";"2"
"Programa una llamada con el equipo para el próximo martes a las 3:30 PM";"Claro, he programado una llamada con el equipo para el próximo martes a las 3:30 PM en tu calendario";"2"
"Añade una reunión de estrategia para el próximo mes a las 11 AM";"Hecho, he añadido una reunión de estrategia para el próximo mes a las 11 AM en tu calendario";"2"
"Reserva el espacio para la conferencia el 20 de noviembre a las 2 PM";"Listo, he reservado el espacio para la conferencia el 20 de noviembre a las 2 PM en tu calendario";"2"
"Llama a María a las 3 PM para discutir el proyecto";"Entendido, llamaré a María a las 3 PM para discutir el proyecto";"3"
"Realiza una llamada a Juan para coordinar la entrega de documentos";"Claro, realizaré una llamada a Juan para coordinar la entrega de documentos";"3"
"Marca a Laura para confirmar la cita de mañana a las 10 AM";"De acuerdo, marcaré a Laura para confirmar la cita de mañana a las 10 AM";"3"
"Llama al cliente para obtener más detalles sobre el pedido";"Hecho, llamaré al cliente para obtener más detalles sobre el pedido";"3"
"Realiza una llamada a Daniel para programar la reunión de la próxima semana";"Listo, realizaré una llamada a Daniel para programar la reunión de la próxima semana";"3"
"Haz una llamada a Ana para discutir el informe de ventas";"Claro, haré una llamada a Ana para discutir el informe de ventas";"3"
"Llama al proveedor para solicitar más suministros";"Entendido, llamaré al proveedor para solicitar más suministros";"3"
"Marca a Pedro para coordinar la logística del evento";"De acuerdo, marcaré a Pedro para coordinar la logística del evento";"3"
"Realiza una llamada a Marta para agendar una reunión la próxima semana";"Hecho, realizaré una llamada a Marta para agendar una reunión la próxima semana";"3"
"Llama al equipo para organizar la presentación del proyecto";"Listo, llamaré al equipo para organizar la presentación del proyecto";"3"
"Haz una llamada a Carlos para coordinar la presentación";"Entendido, haré una llamada a Carlos para coordinar la presentación";"3"
"Marca a Laura para confirmar la reunión de mañana a las 2 PM";"De acuerdo, marcaré a Laura para confirmar la reunión de mañana a las 2 PM";"3"
"Llama al cliente para cerrar la venta";"Hecho, llamaré al cliente para cerrar la venta";"3"
"Realiza una llamada a David para discutir el proyecto";"Claro, realizaré una llamada a David para discutir el proyecto";"3"
"Haz una llamada a Ana para organizar el evento";"Entendido, haré una llamada a Ana para organizar el evento";"3"
"Marca a Pedro para coordinar la presentación del producto";"De acuerdo, marcaré a Pedro para coordinar la presentación del producto";"3"
"Realiza una llamada a Marta para agendar una reunión la próxima semana";"Hecho, realizaré una llamada a Marta para agendar una reunión la próxima semana";"3"
"Llama al equipo para coordinar la estrategia de marketing";"Listo, llamaré al equipo para coordinar la estrategia de marketing";"3"
"Haz una llamada a Carlos para organizar la conferencia";"Entendido, haré una llamada a Carlos para organizar la conferencia";"3"
"Marca a Laura para coordinar la sesión de fotos";"De acuerdo, marcaré a Laura para coordinar la sesión de fotos";"3"
"Reproduce la canción 'Shape of You' en Spotify";"Claro, reproduciré la canción 'Shape of You' en Spotify";"4"
"Crea una lista de reproducción con mis canciones favoritas en Spotify";"Entendido, crearé una lista de reproducción con tus canciones favoritas en Spotify";"4"
"Reproduce la lista de éxitos en Spotify";"De acuerdo, reproduciré la lista de éxitos en Spotify";"4"
"Agrega la canción 'Bohemian Rhapsody' a mi lista de reproducción en Spotify";"Hecho, agregaré la canción 'Bohemian Rhapsody' a tu lista de reproducción en Spotify";"4"
"Reproduce música relajante en Spotify";"Claro, reproduciré música relajante en Spotify";"4"
"Crea una lista de reproducción para hacer ejercicio en Spotify";"Entendido, crearé una lista de reproducción para hacer ejercicio en Spotify";"4"
"Reproduce la lista 'Canciones para el camino' en Spotify";"De acuerdo, reproduciré la lista 'Canciones para el camino' en Spotify";"4"
"Agrega la canción 'Imagine' a mi lista de reproducción en Spotify";"Hecho, agregaré la canción 'Imagine' a tu lista de reproducción en Spotify";"4"
"Reproduce música para concentrarse en Spotify";"Claro, reproduciré música para concentrarse en Spotify";"4"
"Reproduce la lista 'Canciones para estudiar' en Spotify";"De acuerdo, reproduciré la lista 'Canciones para estudiar' en Spotify";"4"
"Agrega la canción 'Stairway to Heaven' a mi lista de reproducción en Spotify";"Hecho, agregaré la canción 'Stairway to Heaven' a tu lista de reproducción en Spotify";"4"
"Reproduce música relajante para dormir en Spotify";"Claro, reproduciré música relajante para dormir en Spotify";"4"
"Crea una lista de reproducción para hacer yoga en Spotify";"Entendido, crearé una lista de reproducción para hacer yoga en Spotify";"4"
"Reproduce la lista 'Éxitos de los 80' en Spotify";"De acuerdo, reproduciré la lista 'Éxitos de los 80' en Spotify";"4"
"Agrega la canción 'Hotel California' a mi lista de reproducción en Spotify";"Hecho, agregaré la canción 'Hotel California' a tu lista de reproducción en Spotify";"4"
"Reproduce música energizante para hacer ejercicio en Spotify";"Claro, reproduciré música energizante para hacer ejercicio en Spotify";"4"
"Crea una lista de reproducción para relajarse después del trabajo en Spotify";"Entendido, crearé una lista de reproducción para relajarse después del trabajo en Spotify";"4"
"Reproduce la lista 'Canciones para fiestas' en Spotify";"De acuerdo, reproduciré la lista 'Canciones para fiestas' en Spotify";"4"
"Agrega la canción 'Shape of You' a mi lista de reproducción en Spotify";"Hecho, agregaré la canción 'Shape of You' a tu lista de reproducción en Spotify";"4"
"Reproduce la lista 'Favoritos de verano' en Spotify";"Entendido, reproduciré la lista 'Favoritos de verano' en Spotify";"4"
